date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:13:39	177684/177684	---MCZ	200	added ('OK')	text/css	etag:%222e8db54b3a3ce3cedb4568d5fdfb615e-ssl-df%22	https://ssagovclaim.netlify.app/wp-content/themes/oceanwp/assets/css/style.minccfb.css	C:/Users/DARAMOLA/Documents/ssn2/ssagovclaim.netlify.app/wp-content/themes/oceanwp/assets/css/style.minccfb.css	(from https://ssagovclaim.netlify.app/apply/)
02:13:40	19345/19345	---MCZ	200	added ('OK')	text/css	etag:%2216960b455a4bc7883f39b20cf230d85e-ssl-df%22	https://ssagovclaim.netlify.app/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min3b94.css	C:/Users/DARAMOLA/Documents/ssn2/ssagovclaim.netlify.app/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min3b94.css	(from https://ssagovclaim.netlify.app/apply/)
02:13:41	87331/87331	---MCZ	200	added ('OK')	text/css	etag:%22df8e41b6821b369307e57f6a2c56ef96-ssl-df%22	https://ssagovclaim.netlify.app/wp-content/plugins/elementor/assets/css/frontend-lite.mina3be.css	C:/Users/DARAMOLA/Documents/ssn2/ssagovclaim.netlify.app/wp-content/plugins/elementor/assets/css/frontend-lite.mina3be.css	(from https://ssagovclaim.netlify.app/apply/)
02:13:41	12876/12876	---MCZ	200	added ('OK')	text/css	etag:%224f391e54cff23ffdb5569d6a630dd41b-ssl-df%22	https://ssagovclaim.netlify.app/wp-content/plugins/elementor/assets/lib/swiper/css/swiper.min48f5.css	C:/Users/DARAMOLA/Documents/ssn2/ssagovclaim.netlify.app/wp-content/plugins/elementor/assets/lib/swiper/css/swiper.min48f5.css	(from https://ssagovclaim.netlify.app/apply/)
02:13:42	1099/1099	---M-Z	200	added ('OK')	text/css	etag:%22b3135cac4e03dc31e80829bab2da8870-ssl-df%22	https://ssagovclaim.netlify.app/wp-content/uploads/elementor/css/post-54516.css	C:/Users/DARAMOLA/Documents/ssn2/ssagovclaim.netlify.app/wp-content/uploads/elementor/css/post-54516.css	(from https://ssagovclaim.netlify.app/apply/)
02:13:43	9475/9475	---MCZ	200	added ('OK')	text/css	etag:%22d8827ae427693b99c5e4ec0d3c0eeab9-ssl-df%22	https://ssagovclaim.netlify.app/wp-content/uploads/elementor/css/global4516.css	C:/Users/DARAMOLA/Documents/ssn2/ssagovclaim.netlify.app/wp-content/uploads/elementor/css/global4516.css	(from https://ssagovclaim.netlify.app/apply/)
02:13:44	11010/11010	---MCZ	200	added ('OK')	text/css	etag:%22244a224c06cf0279e9a8cd4e007d5ded-ssl-df%22	https://ssagovclaim.netlify.app/wp-content/uploads/elementor/css/post-2105c7.css	C:/Users/DARAMOLA/Documents/ssn2/ssagovclaim.netlify.app/wp-content/uploads/elementor/css/post-2105c7.css	(from https://ssagovclaim.netlify.app/apply/)
02:13:45	1617/1617	---M-Z	200	added ('OK')	text/css	etag:%226967d08c6209205b79c662383fee643b-ssl-df%22	https://ssagovclaim.netlify.app/wp-content/plugins/cf7-conditional-fields/style531b.css	C:/Users/DARAMOLA/Documents/ssn2/ssagovclaim.netlify.app/wp-content/plugins/cf7-conditional-fields/style531b.css	(from https://ssagovclaim.netlify.app/apply/)
02:13:46	51603/51603	---MCZ	200	added ('OK')	text/css	etag:%22502d42a508f0fd4c7360c74c02bff79d-ssl-df%22	https://ssagovclaim.netlify.app/wp-content/plugins/ocean-extra/assets/css/widgetsae48.css	C:/Users/DARAMOLA/Documents/ssn2/ssagovclaim.netlify.app/wp-content/plugins/ocean-extra/assets/css/widgetsae48.css	(from https://ssagovclaim.netlify.app/apply/)
02:13:47	50041/50041	---MCZ	200	added ('OK')	text/html	etag:%2217d14b9875a49076df20fc4f9d9eba08-ssl-df%22	https://ssagovclaim.netlify.app/apply/index.html	C:/Users/DARAMOLA/Documents/ssn2/ssagovclaim.netlify.app/apply/index-2.html	(from https://ssagovclaim.netlify.app/apply/)
02:13:47	2750/2750	---M--	200	added ('OK')	image/png	etag:%22be20b53fa8f2ff7635619e4ea8efc0c5-ssl%22	https://ssagovclaim.netlify.app/wp-content/uploads/2023/01/cropped-logo-1-32x32.png	C:/Users/DARAMOLA/Documents/ssn2/ssagovclaim.netlify.app/wp-content/uploads/2023/01/cropped-logo-1-32x32.png	(from https://ssagovclaim.netlify.app/apply/)
02:13:48	43409/43409	---M--	200	added ('OK')	image/png	etag:%2258183cc366220da5f6d296b82e95f5ea-ssl%22	https://ssagovclaim.netlify.app/wp-content/uploads/2023/01/cropped-logo-1-192x192.png	C:/Users/DARAMOLA/Documents/ssn2/ssagovclaim.netlify.app/wp-content/uploads/2023/01/cropped-logo-1-192x192.png	(from https://ssagovclaim.netlify.app/apply/)
02:13:49	43479/43479	---M--	200	added ('OK')	image/png	etag:%22944b45c912bb797d893585a983a9ef24-ssl%22	https://ssagovclaim.netlify.app/wp-content/uploads/2023/01/cropped-logo-1-180x180.png	C:/Users/DARAMOLA/Documents/ssn2/ssagovclaim.netlify.app/wp-content/uploads/2023/01/cropped-logo-1-180x180.png	(from https://ssagovclaim.netlify.app/apply/)
02:13:50	6343/6343	---M--	200	added ('OK')	image/png	etag:%2208d27dae0a78c5ace148d6dc44a59527-ssl%22	https://ssagovclaim.netlify.app/wp-content/uploads/2023/01/ssalogo.png	C:/Users/DARAMOLA/Documents/ssn2/ssagovclaim.netlify.app/wp-content/uploads/2023/01/ssalogo.png	(from https://ssagovclaim.netlify.app/apply/)
02:13:51	89501/89501	---M-Z	200	added ('OK')	application/javascript	etag:%2264982e07-7929%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/3.6.0/jquery.min.js	C:/Users/DARAMOLA/Documents/ssn2/cdnjs.cloudflare.com/ajax/libs/jquery/3.6.0/jquery.min.js	(from https://ssagovclaim.netlify.app/apply/)
02:13:52	3853/3853	---M--	200	added ('OK')	image/png	etag:%2272b8457c05ab9d344c9befbd1e6be9be-ssl%22	https://ssagovclaim.netlify.app/wp-content/plugins/ocean-extra/assets/img/instagram-logo.png	C:/Users/DARAMOLA/Documents/ssn2/ssagovclaim.netlify.app/wp-content/plugins/ocean-extra/assets/img/instagram-logo.png	(from https://ssagovclaim.netlify.app/wp-content/plugins/ocean-extra/assets/css/widgetsae48.css)
02:13:53	159/159	---M--	200	added ('OK')	image/png	etag:%225793817991dea725ce4fa4e54d4ef944-ssl%22	https://ssagovclaim.netlify.app/wp-content/plugins/ocean-extra/assets/img/flickr.png	C:/Users/DARAMOLA/Documents/ssn2/ssagovclaim.netlify.app/wp-content/plugins/ocean-extra/assets/img/flickr.png	(from https://ssagovclaim.netlify.app/wp-content/plugins/ocean-extra/assets/css/widgetsae48.css)
